,totalTravelTimeInSec,totalPrice,totalNumberOfChanges,totalWalkingDistance,totalWaitingTime,odPair_id,sourceName,targetName
mean,7259.720779220779,16.4063902332427,0.8441558441558441,0.20470328532837395,973.0324675324675,9-14,Düsseldorf,Hagen
max,10139.0,26.608095463257065,1.0,0.5146135637921686,5760.0,9-14,Düsseldorf,Hagen
min,6000.0,19.0,0.0,0.0,0.0,18-6,Köln,Darmstadt
mean,10865.877323420074,48.23948487225384,1.308550185873606,0.006162988808210674,931.6059479553903,18-6,Köln,Darmstadt
max,43634.0,61.071315682235905,2.0,0.08431352585153229,28994.0,18-6,Köln,Darmstadt
min,17760.0,42.134309618073615,0.0,0.0,0.0,22-15,Nürnberg,Hamburg
mean,28236.284671532845,113.3351702955911,0.7372262773722628,0.1713954727268161,799.1508515815085,22-15,Nürnberg,Hamburg
max,41033.0,190.72924685397305,1.0,0.5639551564378013,5828.0,22-15,Nürnberg,Hamburg
min,13680.0,36.14575314245093,0.0,0.0,0.0,10-18,Erfurt,Köln
mean,20060.501199040766,103.98401840741747,0.9424460431654677,0.04454334404912755,1224.10551558753,10-18,Erfurt,Köln
max,38100.0,362.7404065594127,1.0,0.25214975813771784,16380.0,10-18,Erfurt,Köln
min,5072.0,30.998083248692307,0.0,0.0,0.0,1-8,Aachen,Duisburg
mean,17989.436893203885,45.60963058126513,1.5097087378640777,0.17504135798512294,4934.97572815534,1-8,Aachen,Duisburg
max,41644.0,149.59045071862724,2.0,0.36423891386674095,34363.0,1-8,Aachen,Duisburg
min,4260.0,18.444540393367237,0.0,0.0,0.0,10-22,Erfurt,Nürnberg
mean,9411.857142857143,42.467209593472916,0.0,0.1690300309602025,0.0,10-22,Erfurt,Nürnberg
max,14177.0,68.72357885728093,0.0,0.5258712074317409,0.0,10-22,Erfurt,Nürnberg
min,5368.0,10.263481066364463,0.0,0.0,0.0,12-1,Essen,Aachen
mean,13152.68,22.439463682654996,1.4685714285714286,0.2691185231918714,2526.945714285714,12-1,Essen,Aachen
max,23534.0,40.33723798641536,2.0,0.6295058369468222,15522.0,12-1,Essen,Aachen
min,3180.0,10.47640922411807,0.0,0.0,0.0,5-1,Bonn,Aachen
mean,10681.137254901962,19.20925729709338,0.8431372549019608,0.19013514420851385,2545.450980392157,5-1,Bonn,Aachen
max,26086.0,28.208285619746256,1.0,0.48484461773171095,20998.0,5-1,Bonn,Aachen
min,7440.0,28.635215686410803,0.0,0.0,0.0,17-18,Karlsruhe,Köln
mean,12531.181818181818,68.58638428473174,0.6262626262626263,0.07869343945433642,389.3905723905724,17-18,Karlsruhe,Köln
max,33007.0,91.61167592827923,1.0,0.5153095727770833,15657.0,17-18,Karlsruhe,Köln
min,4500.0,31.255554777817434,0.0,0.0,0.0,21-27,München,Ulm
mean,6373.941176470588,33.96335892964884,0.375,0.0,702.7941176470588,21-27,München,Ulm
max,15300.0,42.09032166278133,1.0,0.0,11160.0,21-27,München,Ulm
min,3000.0,9.154454285132092,0.0,0.0,0.0,29-22,Würzburg,Nürnberg
mean,4359.148936170212,20.436239317154456,0.0,0.13471621292138142,0.0,29-22,Würzburg,Nürnberg
max,6024.0,33.071843445455734,0.0,0.4522615719503518,0.0,29-22,Würzburg,Nürnberg
min,7498.0,17.16605376489609,0.0,0.0,0.0,5-6,Bonn,Darmstadt
mean,16287.234972677596,39.44674028183996,1.530054644808743,0.08557018977944862,2770.3852459016393,5-6,Bonn,Darmstadt
max,64277.0,117.78476965472464,3.0,0.5064214300636065,45474.0,5-6,Bonn,Darmstadt
min,8160.0,24.17821354376748,0.0,0.0,0.0,6-27,Darmstadt,Ulm
mean,17466.035264483628,38.65343869704935,1.2594458438287153,0.08970616329760814,3798.4785894206548,6-27,Darmstadt,Ulm
max,34800.0,78.14356730626895,2.0,0.3155469679740357,27120.0,6-27,Darmstadt,Ulm
min,1144.0,2.48935092828175,0.0,0.0,0.0,13-8,Gelsenkirchen,Duisburg
mean,1478.9754098360656,5.724835214120142,0.07377049180327869,0.08993449412933703,100.61475409836065,13-8,Gelsenkirchen,Duisburg
max,3543.0,9.95918096220325,1.0,0.1731902720132223,2455.0,13-8,Gelsenkirchen,Duisburg
min,2047.0,11.128200018308236,0.0,0.0,0.0,4-28,Bochum,Wuppertal
mean,4373.185185185185,14.633037331680372,0.7037037037037037,0.058683051885972524,490.7654320987654,4-28,Bochum,Wuppertal
max,12240.0,34.98033954471592,1.0,0.31688848018425153,7080.0,4-28,Bochum,Wuppertal
min,7680.0,19.126216358880807,0.0,0.0,0.0,9-6,Düsseldorf,Darmstadt
mean,14733.958389261745,47.071404612298196,1.5543624161073826,0.17310431502132437,1540.1812080536913,9-6,Düsseldorf,Darmstadt
max,26311.0,72.24553458840946,2.0,0.9648487205271404,9117.0,9-6,Düsseldorf,Darmstadt
min,4740.0,16.765595616233252,0.0,0.0,0.0,22-10,Nürnberg,Erfurt
mean,9978.006451612904,42.74755633161121,0.7387096774193549,0.1635636045562852,1007.2129032258065,22-10,Nürnberg,Erfurt
max,25787.0,68.30115731571179,1.0,0.4949024931116146,14632.0,22-10,Nürnberg,Erfurt
min,2160.0,4.0,0.0,0.0,0.0,16-6,Heidelberg,Darmstadt
mean,2713.450980392157,8.995498479154472,0.0,0.05221516780375135,0.0,16-6,Heidelberg,Darmstadt
max,3364.0,17.826120190221644,0.0,0.507347633325447,0.0,16-6,Heidelberg,Darmstadt
min,10860.0,20.018425710820026,0.0,0.0,0.0,14-17,Hagen,Karlsruhe
mean,15208.86511627907,88.13325849386227,0.7209302325581395,0.07990080163136266,774.9069767441861,14-17,Hagen,Karlsruhe
max,21509.0,113.26006717820204,1.0,0.6149394036537408,4567.0,14-17,Hagen,Karlsruhe
min,480.0,0.8551160376039061,0.0,0.0,0.0,12-13,Essen,Gelsenkirchen
mean,839.4444444444445,2.0753620107440116,0.0,0.07493728493105119,0.0,12-13,Essen,Gelsenkirchen
max,1415.0,3.825187115668229,0.0,0.29974913972420464,0.0,12-13,Essen,Gelsenkirchen
min,2476.0,14.301295553029355,0.0,0.0,0.0,28-8,Wuppertal,Duisburg
mean,9052.205263157895,19.961140145480574,1.431578947368421,0.24151915384262454,1696.1368421052632,28-8,Wuppertal,Duisburg
max,22771.0,29.048459451760554,2.0,0.617015282746774,14949.0,28-8,Wuppertal,Duisburg
min,2816.0,15.037721220390141,0.0,0.0,0.0,23-28,Oberhausen,Wuppertal
mean,6719.781818181818,19.396791933008046,1.0909090909090908,0.13102627360057842,756.6272727272727,23-28,Oberhausen,Wuppertal
max,9960.0,28.801281975973613,3.0,0.5146135637921686,2689.0,23-28,Oberhausen,Wuppertal
min,1897.0,2.490261036159712,0.0,0.0,0.0,7-13,Dortmund,Gelsenkirchen
mean,4856.748201438849,7.9950226440959025,0.5683453237410072,0.14122441213122977,1364.8992805755395,7-13,Dortmund,Gelsenkirchen
max,14940.0,12.93581417952467,1.0,0.35957023126412835,13140.0,7-13,Dortmund,Gelsenkirchen
min,1560.0,9.929586468129813,0.0,0.0,0.0,18-28,Köln,Wuppertal
mean,1865.2363636363636,11.592723956816723,0.0,0.0,0.0,18-28,Köln,Wuppertal
max,3038.0,17.127642698887545,0.0,0.0,0.0,18-28,Köln,Wuppertal
min,3867.0,24.465489954180303,0.0,0.0,0.0,1-9,Aachen,Düsseldorf
mean,10109.41958041958,41.08464057044135,1.083916083916084,0.13740116491403795,1632.2937062937062,1-9,Aachen,Düsseldorf
max,33599.0,141.64579664117002,2.0,0.6260941117283854,24389.0,1-9,Aachen,Düsseldorf
min,10301.0,13.0,0.0,0.0,0.0,22-17,Nürnberg,Karlsruhe
mean,12180.559322033898,56.12385632913357,0.3050847457627119,0.10822295358539911,214.97175141242937,22-17,Nürnberg,Karlsruhe
max,16080.0,106.84230034729134,1.0,0.4464297104348651,4440.0,22-17,Nürnberg,Karlsruhe
min,9600.0,23.19732134830111,0.0,0.0,0.0,13-20,Gelsenkirchen,Mannheim
mean,17899.924623115578,64.0509459030913,1.5041876046901173,0.01344856167722462,1854.539363484087,13-20,Gelsenkirchen,Mannheim
max,41880.0,235.0537119105431,2.0,0.09555203814495188,20635.0,13-20,Gelsenkirchen,Mannheim
min,4187.0,8.423590186297886,0.0,0.0,0.0,29-2,Würzburg,Bamberg
mean,4804.25,19.55879944789681,0.125,0.1359081951798991,0.0,29-2,Würzburg,Bamberg
max,5642.0,44.493669721334975,1.0,0.3374272432052667,0.0,29-2,Würzburg,Bamberg
min,5820.0,19.66849596562011,0.0,0.0,0.0,20-27,Mannheim,Ulm
mean,14047.073170731708,36.60993884287952,0.8048780487804879,0.09656868265849325,2199.6341463414633,20-27,Mannheim,Ulm
max,30287.0,65.03823932189576,2.0,0.4399239987775809,16831.0,20-27,Mannheim,Ulm
min,840.0,6.306706969312318,0.0,0.0,0.0,14-28,Hagen,Wuppertal
mean,1033.7837837837837,6.818873411946134,0.0,0.0,0.0,14-28,Hagen,Wuppertal
max,1905.0,9.465066698887552,0.0,0.0,0.0,14-28,Hagen,Wuppertal
min,13500.0,34.13174263000947,0.0,0.0,0.0,20-24,Mannheim,Osnabrück
