totaltraveltimeinsec,totalprice,totalnumberofchanges,totalwalkingdistance,totalwaitingtime,objective,finiteautomaton,consideredpreferences,finalsolutionusedlabels,sourcename,targetname
0.5,16.9,0,0,0.0,price,ptOnly,"[travelTime, price]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.4,18.2,0,0,0.0,price,ptOnly,"[travelTime, price]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.4,18.2,0,0,0.0,price,ptOnly,"[travelTime, price]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.3,19.6,0,0,0.0,price,ptOnly,"[travelTime, price]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.2,23.0,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Wuppertal,Duisburg
0.2,24.3,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Wuppertal,Duisburg
0.2,24.3,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Wuppertal,Duisburg
0.2,24.3,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Wuppertal,Duisburg
0.2,27.0,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Wuppertal,Duisburg
0.1,14.3,0,0,0.0,price,noFlights,"[travelTime, price]",[car],Wuppertal,Duisburg
0.9,16.4,2,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]","[db_fv, flixbus, blablacar]",Wuppertal,Duisburg
0.5,16.9,2,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.4,18.2,2,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.4,18.2,2,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.3,19.6,2,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.2,23.0,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Wuppertal,Duisburg
0.2,24.3,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Wuppertal,Duisburg
0.2,24.3,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Wuppertal,Duisburg
0.2,27.0,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Wuppertal,Duisburg
1.2,23.3,1,0,0.0,numberofChanges,ptOnly,"[travelTime, price, numberofChanges]","[db_fv, blablacar]",Wuppertal,Duisburg
0.5,19.7,1,0,0.0,numberofChanges,ptOnly,"[travelTime, price, numberofChanges]","[db_fv, blablacar]",Wuppertal,Duisburg
0.2,24.3,1,0,0.0,numberofChanges,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Wuppertal,Duisburg
0.9,16.4,2,617,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus, blablacar]",Wuppertal,Duisburg
0.5,16.9,2,476,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.4,18.2,2,479,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.4,18.2,2,479,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.3,19.6,2,479,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus, db_fv]",Wuppertal,Duisburg
0.2,23.0,1,173,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[db_fv],Wuppertal,Duisburg
0.2,24.3,1,173,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[db_fv],Wuppertal,Duisburg
0.2,24.3,1,173,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[db_fv],Wuppertal,Duisburg
0.2,27.0,1,173,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[db_fv],Wuppertal,Duisburg
1.2,23.3,1,224,0.0,numberofChanges,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, blablacar]",Wuppertal,Duisburg
0.5,19.7,1,224,0.0,numberofChanges,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, blablacar]",Wuppertal,Duisburg
0.2,24.3,1,173,0.0,numberofChanges,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[db_fv],Wuppertal,Duisburg
0.5,26.8,2,95,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus]",Wuppertal,Duisburg
0.9,29.5,2,95,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus]",Wuppertal,Duisburg
0.7,19.2,2,364,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, blablacar, db_fv]",Wuppertal,Duisburg
0.6,19.0,2,366,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, blablacar]",Wuppertal,Duisburg
0.8,18.4,2,374,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus, blablacar]",Wuppertal,Duisburg
1.1,16.4,2,617,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus, blablacar]",Wuppertal,Duisburg
